gene,interaction_type,score,drug_name
SCN5A,blocker,0.03140411,ORPHENADRINE HYDROCHLORIDE
MAPT,NULL,0.023813003,CHEMBL:CHEMBL585654
CYP2C9,NULL,0.030386384,DIHYDROCAPSAICIN
CYP3A4,NULL,0.021357605,SELEGILINE
CYP3A4,NULL,0.004894451,BIOCHANIN A
POLI,NULL,0.015407181,BENSERAZIDE HYDROCHLORIDE
MAP4K4,NULL,0.157680694,CHEMBL:CHEMBL535331
VDR,NULL,0.111481255,ANTIAROL
MITF,NULL,0.165118463,CHEMBL:CHEMBL582722
POLB,NULL,0.290097631,DIGALLIC ACID
MAPK13,NULL,0.777891426,MILTIRONE
MAPK12,NULL,0.777891426,MILTIRONE
CYP2C19,NULL,0.036162308,BUTYLPARABEN
NFE2L2,NULL,0.002518354,TOPOTECAN HYDROCHLORIDE
SMAD3,NULL,0.11464557,GEOPYXIN A
SCN9A,blocker,0.032899543,ORPHENADRINE HYDROCHLORIDE
MAPK14,NULL,0.228294223,MILTIRONE
NFE2L2,NULL,0.012591768,CHEMBL:CHEMBL599100
AR,NULL,0.029235897,TILIQUINOL
KDM4E,NULL,0.020187494,DAPHNETIN
KCNH2,NULL,0.049864835,CHEMBL:CHEMBL549208
CYP1A2,NULL,0.002035536,CYCLOSPORINE
TP53,NULL,0.023182195,U50488
RAB9A,NULL,0.182318303,CHEMBL:CHEMBL572346
PLK1,NULL,0.291709285,CHEMBL:CHEMBL584619
SCN9A,blocker,0.056826484,PRILOCAINE HYDROCHLORIDE
PTK6,NULL,0.063722902,NVP-TAE684
HPGD,NULL,0.211724481,LEOIDIN
POLK,NULL,0.020117882,GOSSYPETIN
MAPK1,NULL,0.037505479,CHEMBL:CHEMBL547833
GLS,NULL,0.092443083,CHEMBL:CHEMBL582478
ABL1,NULL,0.003740129,DOVITINIB
PDGFRA,NULL,0.025567767,DOVITINIB
RECQL,NULL,0.150884113,DIBROMOACETIC ACID
APAF1,NULL,0.042242696,CHEMBL:CHEMBL600336
CYP2D6,NULL,0.014757637,DROPERIDOL
HCK,NULL,0.086219493,MLN-8054
MAPT,NULL,0.017009288,CHEMBL:CHEMBL457504
RECQL,NULL,0.030176823,CHEMBL:CHEMBL242171
CBX1,NULL,0.006347639,MITOXANTRONE
ADK,NULL,1.166837139,DABIGATRAN
CYP3A4,NULL,0.014683353,METHYL PARATHIONE
CYP2C9,NULL,0.017363648,SULFAMETHOXAZOLE
NFE2L2,NULL,0.062958838,PAMICOGREL
NFE2L2,NULL,0.062958838,CHEMBL:CHEMBL259865
EHMT2,NULL,0.061269161,CHEMBL:CHEMBL598268
EHMT2,NULL,0.012253832,"3,5-DINITROCATECHOL (OR-486)"
AR,NULL,0.116943588,CHEMBL:CHEMBL1738937
NTRK2,NULL,0.01083079,DOVITINIB
SCN7A,blocker,0.083744292,PRILOCAINE HYDROCHLORIDE
PRMT1,NULL,6.563458904,AMI-1
CYP3A4,NULL,0.058733413,RP-67580
KCNH2,NULL,0.01495945,SPIROXATRINE
CYP1A2,NULL,0.012649403,SOTALOL
HSD17B10,NULL,0.031784305,BETA-CCM
ALDH1A1,NULL,0.019665794,LINOLEIC ACID
CYP3A4,NULL,0.009788902,GLYCINE
SMN1,NULL,0.099446347,CHEMBL:CHEMBL265686
SCN4A,blocker,0.019233579,PHENYTOIN SODIUM
MAPK9,NULL,0.054695491,PP2
TP53,NULL,0.023182195,PYRACLOSTROBIN
POLK,NULL,0.033529803,ORTHO-PHTHALALDEHYDE
TUBB4A,NULL,0.080042182,CHEMBL:CHEMBL2036119
TUBB8,NULL,0.080042182,CHEMBL:CHEMBL2036119
TUBB3,NULL,0.080042182,CHEMBL:CHEMBL2036119
KDM4E,NULL,0.005677733,ISOPROTERENOL
RAD52,NULL,0.020575106,GR 127935
ALDH1A1,NULL,0.016856395,CHEMBL:CHEMBL17201
IDH1,NULL,0.064190307,CHEMBL:CHEMBL598679
SCN11A,blocker,0.094099769,OXCARBAZEPINE
CDK5R1,NULL,1.875273973,CHEMBL:CHEMBL1276446
CDK5,NULL,0.298339041,CHEMBL:CHEMBL1276446
AR,NULL,0.058471794,DODINE
CYP1A2,NULL,0.04427291,CHEMBL:CHEMBL227298
EHMT2,NULL,0.020423054,2-MERCAPTOBENZIMIDAZOLE
TUBA1B,NULL,0.075333818,CHEMBL:CHEMBL1935538
TUBB3,NULL,0.075333818,CHEMBL:CHEMBL1935538
KCNH2,NULL,0.021370644,CHEMBL:CHEMBL1256740
TUBB6,NULL,0.075333818,CHEMBL:CHEMBL1935538
RECQL,NULL,0.033529803,METHYLENE BLUE
APEX1,NULL,0.013887244,CHEMBL:CHEMBL67535
SCN2A,blocker,0.138909183,PHENYTOIN SODIUM
AR,NULL,0.029235897,FLUACIZINE
EHMT2,NULL,0.01531729,MIZORIBINE
PDGFRB,NULL,0.010759769,SOTRASTAURIN
CYP3A4,NULL,0.019577804,HYDROXYCAMPTOTHECIN
CYP2D6,NULL,0.035418328,ZOXAZOLAMINE
EHMT2,NULL,0.061269161,E-64C
RORC,NULL,0.031707531,CLIOQUINOL
SCN7A,blocker,0.021933029,PHENYTOIN SODIUM
FASN,NULL,0.388945713,DNQX
GAA,NULL,0.015193192,GOSSYPOL
AR,NULL,0.011694359,PYRACLOSTROBIN
EHMT2,NULL,0.002784962,CATECHOL
ALDH1A1,NULL,0.023598953,CITRIC ACID
TARDBP,NULL,0.06697407,CHEMBL:CHEMBL1333049
HSD17B10,NULL,0.127137218,CLADRIN
SCN11A,blocker,0.07699072,PRILOCAINE HYDROCHLORIDE
IDO1,NULL,7.501095891,CHEMBL:CHEMBL1668301
BAZ2B,NULL,0.0191914,CHEMBL:CHEMBL582478
AR,NULL,0.011694359,DIBUTYLDICHLOROSTANNANE
NR3C1,NULL,0.007157534,NIFEDIPINE
POLI,NULL,0.022410444,CEFIXIME ANHYDROUS
LRRK2,NULL,0.020795117,DOVITINIB
SCN2A,blocker,0.075768645,PRILOCAINE HYDROCHLORIDE
KDM4A,NULL,0.014883127,CHEMBL:CHEMBL1989853
IDH1,NULL,0.011670965,CHEMBL:CHEMBL576208
CYP2C9,NULL,0.040515178,CHEMBL:CHEMBL584860
YES1,NULL,0.252440727,GW785804X
SCN7A,blocker,0.051177067,OXCARBAZEPINE
MMP3,NULL,3.750547945,BERKELEYTRIONE
CBX1,NULL,0.017456008,CHEMBL:CHEMBL1519374
MAPK1,NULL,0.042863405,AHPN
ABCC2,NULL,0.012573676,CYCLOSPORINE
POLB,NULL,0.018131102,PHLORETIN
NR1H4,NULL,0.152196149,DIFENOCONAZOLE
SCN8A,blocker,0.040452751,LAMOTRIGINE
NFE2L2,NULL,0.003147942,MERCURIC CHLORIDE
NFE2L2,NULL,0.00524657,LEFLUNOMIDE
MAP4K2,NULL,0.019607047,NVP-TAE684
MAP4K5,NULL,0.03729238,CP-547632
SMN2,NULL,0.205108091,CHEMBL:CHEMBL585769
GAA,NULL,0.121545535,ISOQUERCETIN
HSD17B10,NULL,0.006356861,PHENYLMERCURIC ACETATE
CYP2C19,NULL,0.036162308,DIFLUFENICAN
SCN4A,blocker,0.036718651,LAMOTRIGINE
GMNN,NULL,0.027347745,CHEMBL:CHEMBL532849
CYP2D6,NULL,0.014757637,OFLOXACIN
SRC,NULL,0.022099188,CP-547632
ALOX15,NULL,0.020470827,QUINALIZARIN
MAPK1,NULL,0.150021918,CANTHARIDIN
PAX8,NULL,0.397785388,IRINOTECAN HYDROCHLORIDE HYDRATE
NFE2L2,NULL,0.031479419,CHEMBL:CHEMBL607140
KDM4E,NULL,0.005677733,ISOPROTERENOL
DRD3,agonist,0.100014612,ROTIGOTINE
CYP2C9,NULL,0.017363648,SOTALOL
KDM4E,NULL,0.030281241,CHEMBL:CHEMBL590927
RGS4,NULL,0.020591244,DEPHOSTATIN
ADRA2A,NULL,0.215489759,YOHIMBINE
ROCK2,NULL,0.048083948,LAUROGUADINE
NFE2L2,NULL,0.002170994,CHEMBL:CHEMBL578512
MEN1,NULL,0.530380518,CHEMBL:CHEMBL591864
EHMT2,NULL,0.010211527,NADA
NFE2L2,NULL,0.062958838,BROMAMINIC ACID
POLB,NULL,0.015268296,HYCANTHONE
EHMT2,NULL,0.005105763,PALIPERIDONE
FGG,inhibitor,1.640864726,PLASMIN
NPC1,NULL,0.064824285,CHEMBL:CHEMBL233194
JUN,NULL,0.228294223,NAFRONYL OXALATE
TOP1,NULL,0.875127854,AESCULIOSIDE IID
MAPK8,NULL,0.021011473,PALBOCICLIB
TSHR,NULL,0.050781113,CLOSANTEL
FEN1,NULL,0.011850072,SLAZINIC ACID
HPGD,NULL,0.011143394,CHEMBL:CHEMBL67535
CYP2C19,NULL,0.003740928,GR 127935
GBA1,NULL,0.750109589,CASTANOSPERMINE
MAPK1,NULL,0.002913047,NVP-TAE684
CYP3A4,NULL,0.002447226,"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE"
SLC28A2,NULL,2.625383562,URIDINE
CYP2C19,NULL,0.009040577,TARENFLURBIL
FGA,inhibitor,1.193356164,PLASMIN
CYP2D6,NULL,0.019676849,NATEGLINIDE
AR,NULL,0.009745299,ORTHO-PHTHALALDEHYDE
MAPK1,NULL,0.005770074,ALSTERPAULLONE
PDPK1,NULL,0.026816992,SP-600125
PDE4D,inhibitor,0.125018265,APREMILAST
ESR1,NULL,0.012268147,MERCURIC CHLORIDE
HTT,NULL,0.021733308,BENZETHONIUM CHLORIDE
NFE2L2,NULL,0.031479419,QUINIZARIN
PDE4B,inhibitor,0.233367428,APREMILAST
BACE1,NULL,0.224391757,EPIGALLOCATECHIN-3-GALLATE
ALDH1A1,NULL,0.007374673,ANANDAMIDE
ESR1,NULL,0.490725899,4-TRIETHYLGERMYLPHENOL
KDM4A,NULL,0.019844169,CHEMBL:CHEMBL584514
EHMT2,NULL,0.010211527,CHEMBL:CHEMBL1363249
BLM,NULL,0.029987248,CHEMBL:CHEMBL1451216
APEX1,NULL,0.018846975,NIMESULIDE
PDE4A,inhibitor,0.358006849,APREMILAST
LTK,NULL,0.039361073,PAZOPANIB
VDR,NULL,0.111481255,NIFEKALANT
GLP1R,NULL,0.079557078,CHEMBL:CHEMBL604664
AURKB,NULL,0.015071088,PD-0166285
YES1,NULL,0.002499413,DOVITINIB
KDR,NULL,0.006061842,SOTRASTAURIN
IDH1,NULL,0.032095154,AZELASTINE HYDROCHLORIDE
GLP1R,agonist,0.954684932,ALBIGLUTIDE
MKNK2,NULL,0.025489161,NVP-TAE684
BRSK1,NULL,0.026830696,NVP-TAE684
RECQL,NULL,0.025147352,QUINACRINE DIHYDROCHLORIDE
POLB,NULL,0.024174803,CHEMBL:CHEMBL1453126
CYP2C9,NULL,0.006077277,VANOXERINE
ATAD5,NULL,0.035598421,CHEMBL:CHEMBL260451
RECQL,NULL,0.018860514,PHLORETIN
CYP3A4,NULL,0.00202529,LANSOPRAZOLE
XK,inhibitor,1.693795846,PERAMIVIR ANHYDROUS
CD19,modulator,0.512269963,BLINATUMOMAB
HMBS,NULL,5.834185693,GIVOSIRAN
CYP2D6,NULL,0.050597611,MECLIZINE
ERBB4,inhibitor,0.452652338,PELITINIB
FGFR2,inhibitor,0.046965717,RABEPRAZOLE
PTK2,inhibitor,0.114395798,MASITINIB
ERBB2,inhibitor,0.236357246,AFATINIB
LYN,inhibitor,0.787615069,BAFETINIB
KIT,inhibitor,1.029066007,IMATINIB
MET,inhibitor,1.500219178,CAPMATINIB
MET,inhibitor,0.666764079,PF-04217903
MAP2K1,inhibitor,0.375054795,BINIMETINIB
MTOR,inhibitor,0.028444026,AZD8055
PDGFRB,inhibitor,0.238671233,MOTESANIB
PIK3R4,inhibitor,0.265190259,COPANLISIB
PIK3C2A,inhibitor,0.140394843,COPANLISIB
PIK3C2G,inhibitor,0.149169521,COPANLISIB
PIK3C2A,inhibitor,0.123547462,BUPARLISIB
PIK3C2A,inhibitor,0.181687444,PILARALISIB
PIK3C3,inhibitor,0.193042909,PILARALISIB
PIK3R3,inhibitor,0.176496374,PILARALISIB
MLST8,inhibitor,1.458546423,OSI-027
RICTOR,inhibitor,0.833455099,OSI-027
AKT1S1,inhibitor,1.458546423,OSI-027
KDR,inhibitor,0.092443083,TESEVATINIB
FLT1,inhibitor,0.340958904,MOTESANIB
EGFR,antibody,0.694545916,NIMOTUZUMAB
KDR,inhibitor,0.020542907,MIDOSTAURIN
PARP1,inhibitor,1.225178995,VELIPARIB
ERBB2,inhibitor,0.236357246,AFATINIB
PIK3CA,inhibitor,0.095500063,GEDATOLISIB
PIK3R1,inhibitor,0.192335792,GEDATOLISIB
MAP2K7,inhibitor,0.750109589,MIRDAMETINIB
ERBB2,inhibitor,0.236357246,AFATINIB
FLT3,inhibitor,0.112450291,SUNITINIB
ERBB3,inhibitor,0.045421861,GEFITINIB
NOS2,inhibitor,0.061701141,DOXYCYCLINE ANHYDROUS
ABCB1,NULL,0.0081597,ATORVASTATIN CALCIUM TRIHYDRATE
ABCB1,NULL,0.448783515,BRYOSTATIN 1
ABCB1,NULL,0.224391757,ANTIPARASITIC AGENT
ABCB1,NULL,0.02639903,CAPSAICIN
ABCB1,NULL,0.02639903,DEFEROXAMINE
ABCB1,NULL,0.049864835,IL-3
ABCB1,NULL,0.040798501,LENOGRASTIM
AGTR1,NULL,1.779921059,C-FOS ANTISENSE
ALPP,NULL,1.944728564,DIDEOXYADENOSINE
ANPEP,NULL,0.308868654,BETULINIC ACID
ANPEP,NULL,0.077217164,PROTEASE INHIBITOR
APOA1,NULL,0.913176891,PROTEIN PHOSPHATASE INHIBITOR
APRT,NULL,0.187527397,HYDROGEN PEROXIDE
APRT,NULL,0.187527397,ALTEPLASE
ATF2,NULL,0.380490371,STREPTOZOCIN
AQP1,NULL,0.081281225,THERAPEUTIC GLUCOCORTICOID
BCL2,NULL,0.320168727,DITIOCARB
BDNF,NULL,0.050222545,CAPSAICIN
BDKRB2,NULL,0.078136416,SODIUM CHLORIDE
BDNF,NULL,0.121969039,THERAPEUTIC GONADOTROPIN
BDNF,NULL,0.142297212,OPIATE
BDNF,NULL,0.170756654,K-252A
BDNF,NULL,0.03049226,SODIUM CHLORIDE
BDNF,NULL,0.050222545,NALOXONE HYDROCHLORIDE
BDNF,NULL,0.426891636,RECOMBINANT INTERLEUKIN-1 RECEPTOR ANTAGONIST
BDNF,NULL,0.032837818,TROGLITAZONE
BGLAP,NULL,0.118260521,MITOMYCIN
BDNF,NULL,0.853783272,VERTEPORFIN
BGLAP,NULL,0.218327115,VITAMIN D
BIRC5,NULL,0.099446347,ENZYME INHIBITOR
BIRC5,NULL,0.020575106,GENISTEIN
BIRC5,NULL,0.085239726,SULINDAC
CA2,NULL,0.367186512,COBALT
CASR,NULL,0.504881454,VITAMIN D
CALCA,NULL,0.090452491,PREDNISONE
CDKN2D,NULL,5.625821918,IL-4
CSF1,NULL,1.714536204,ANTISERUM
CYP1A1,NULL,0.233367428,ANTIESTROGEN
CYP19A1,NULL,0.178597521,ADENOVIRUS VECTOR
CYP19A1,NULL,0.043109746,GENISTEIN
CYP1A1,NULL,0.350051142,RUTIN
CYP1B1,NULL,0.397785388,FADROZOLE
CYP2B6,NULL,0.086361301,PHENOBARBITAL
NR1H3,modulator,1.250182648,BMS-852927
CYP24A1,NULL,0.89756703,VITAMIN D
CYP2D6,NULL,0.014757637,VORICONAZOLE
CYP3A4,NULL,0.00607587,MONOAMINE OXIDASE INHIBITOR
DDIT3,NULL,0.814072422,"1,4-BENZOQUINONE"
DDIT3,NULL,0.122110863,HYDROGEN PEROXIDE
DDIT3,NULL,0.814072422,TOPOISOMERASE INHIBITOR
DDIT3,NULL,0.610554317,RO 31-8220
DDIT3,NULL,0.01732069,ASPIRIN
DIABLO,NULL,0.716013699,HYDROGEN PEROXIDE
DNMT1,NULL,0.113652968,HYDROXYUREA
NR1H2,agonist,2.019525817,CS-8080
DFFB,NULL,0.530380518,CURCUMIN
DNTT,NULL,6.563458904,ADENOSINE DEAMINASE INHIBITOR
DOCK10,NULL,21.00306849,BINETRAKIN
EDN1,NULL,0.833455099,LANREOTIDE ACETATE
F2R,NULL,0.118795636,THERAPEUTIC GLUCOCORTICOID
F11,NULL,0.230296804,THROMBIN
FLT4,inhibitor,0.089298761,SU-014813
F8,NULL,0.88248187,C5A
F9,NULL,0.460593607,DEXTRAN SULFATE
F8,NULL,2.059124362,SORBITOL
FAS,NULL,0.043109746,LITHIUM
FABP1,NULL,0.386085818,CLOFIBRATE
FLT3,inhibitor,0.046303061,SU-014813
FAS,NULL,0.015215205,FLUOROURACIL
FAS,NULL,0.03292017,ATORVASTATIN CALCIUM TRIHYDRATE
FCGR2B,NULL,0.218781963,ALDESLEUKIN
GCG,NULL,1.346350545,ALPHA-ADRENERGIC ANTAGONIST
GDF15,NULL,2.500365297,INDOLE-3-CARBINOL
GDNF,NULL,0.260583976,BROMOCRIPTINE
GDF15,NULL,0.88248187,NONSTEROIDAL ANTIINFLAMMATORY DRUG
GFAP,NULL,0.017733087,ASPIRIN
GDF15,NULL,1.250182648,CALCITRIOL
GGT1,NULL,0.29918901,PIROXICAM-BETA-CYCLODEXTRIN
NR3C2,inhibitor,1.381780822,PF-03882845
GRIA3,NULL,0.065799087,PHENOBARBITAL
GNRH1,NULL,0.789589041,DIETHYLDITHIOCARBAMATE
GRM1,NULL,9.024755994,GANCICLOVIR
GSR,NULL,0.954684932,AMIFOSTINE ANHYDROUS
GRP,NULL,0.686374787,NALOXONE HYDROCHLORIDE
GRP,NULL,2.917092846,ATROPINE SULFATE
GSTM1,NULL,0.106183359,PREDNISONE
GSTM1,NULL,0.175610941,TROGLITAZONE
GSTP1,NULL,0.138178082,BUSULFAN
GSTP1,NULL,0.026519026,CURCUMIN
IL1B,NULL,0.049026771,LITHIUM
IL1R1,NULL,0.621392559,VITAMIN D
IL1B,NULL,0.042022946,RESVERATROL
IL2,NULL,1.640864726,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA
IL2,NULL,0.410216182,MACROLIDE ANTIBIOTIC
IL2RA,NULL,0.046798281,THERAPEUTIC HORMONE
IL2RA,NULL,0.343187394,DEXTRAN SULFATE
IL2RA,NULL,0.205912436,INTERFERON BETA-1B
IL2RA,NULL,0.171593697,ALDESLEUKIN
CXCL8,NULL,0.035040154,OMEPRAZOLE
ITGAL,NULL,0.181060935,HYDROGEN PEROXIDE
ITGAL,NULL,0.061376588,ETOPOSIDE
IRF2,NULL,2.019525817,RECOMBINANT INTERFERON
IRS2,NULL,0.186197416,ASPIRIN
ITGAM,NULL,0.159114155,ATORVASTATIN CALCIUM TRIHYDRATE
ITGAL,NULL,0.150884113,THROMBIN
MAPKAPK2,inhibitor,2.917092846,AT-13148
KCNA5,NULL,0.159114155,THERAPEUTIC HORMONE
KIR2DL3,NULL,0.673175272,RECOMBINANT INTERFERON
KLK3,NULL,0.291709285,SOY PROTEIN ISOLATE
LCAT,NULL,0.456588446,STREPTOZOCIN
LEP,NULL,1.458546423,ANTICOAGULANT AGENT
LEP,NULL,0.141149654,BROMOCRIPTINE
MAPK10,NULL,2.692701089,PINGYANGMYCIN
MARK2,NULL,0.192335792,TYROSINE KINASE INHIBITOR
MMP2,NULL,0.14172111,CHLORHEXIDINE GLUCONATE
MMP1,NULL,0.154434327,THERAPEUTIC GLUCOCORTICOID
MMP2,NULL,0.244791008,LENOGRASTIM
MYC,NULL,0.048394167,BROMOCRIPTINE
NAT2,NULL,0.075442056,PEGINTERFERON ALFA-2A
MYOD1,NULL,0.328172945,PROTEASE INHIBITOR
NFE2L2,NULL,0.00299804,LITHIUM
PIK3R2,inhibitor,0.168293818,AZD-6482
NPPC,NULL,0.214317025,ANTISERUM
NPY,NULL,0.307962881,BROMOCRIPTINE
NQO1,NULL,0.757322181,DICUMAROL
NQO1,NULL,0.15534814,TYROSINE KINASE INHIBITOR
NRG1,NULL,0.084146909,TYROSINE KINASE INHIBITOR
NT5E,NULL,0.325124899,CAPSAICIN
NRG1,NULL,0.198892694,PROGESTIN
NRG1,NULL,0.182318303,ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC
NRG1,NULL,0.027010119,CYTARABINE
PC,NULL,1.250182648,HYDROCORTISONE BUTYRATE
PAX2,NULL,1.346350545,TYROSINE KINASE INHIBITOR
PIK3CG,NULL,0.017951341,RITUXIMAB
ABL1,inhibitor,0.188876515,AZD-0424
PIK3CG,NULL,0.040390516,HYDROGEN PEROXIDE
PIK3CG,NULL,0.040390516,ALTEPLASE
PIP,NULL,1.193356164,THERAPEUTIC HORMONE
PLAT,NULL,0.280789686,EPOETIN ALFA
PLAU,NULL,0.227305936,LENOGRASTIM
PLAUR,NULL,0.875127854,PHORBOL 12-MYRISTATE 13-ACETATE
PPIB,NULL,0.603536451,CYCLOSPORINE
PPP1R1B,NULL,1.875273973,FLUOXETINE HYDROCHLORIDE
PRKD1,NULL,0.214317025,RESVERATROL
PZP,NULL,0.372394831,ESTRADIOL VALERATE
PIK3CB,inhibitor,0.052090944,AZD-6482
RARA,NULL,0.016669102,DOXORUBICIN HYDROCHLORIDE
RNASEH2A,NULL,1.250182648,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1
RNASEH2A,NULL,1.544343272,CAPSAICIN
SDHB,NULL,1.141471114,GENTAMICIN
SI,NULL,0.285367778,STREPTOZOCIN
SFTPA1,NULL,0.328172945,HYDROGEN PEROXIDE
SHBG,NULL,1.750255708,NORGESTREL
SLC2A4,NULL,0.047518255,THERAPEUTIC GLUCOCORTICOID
SLC2A4,NULL,0.100976291,CLOFIBRATE
SLC2A1,NULL,1.050153425,THYMIDINE
SLC2A4,NULL,0.080781033,PROTEASE INHIBITOR
SLC2A5,NULL,1.141471114,STREPTOZOCIN
SLC2A4,NULL,0.107708044,SOMATROPIN (RECOMBINANT DNA ORIGIN)
SLC9A3,NULL,0.772171636,THERAPEUTIC GLUCOCORTICOID
BRAF,inhibitor,0.109963709,AGERAFENIB
SOCS1,NULL,1.750255708,ALDESLEUKIN
SMAD3,NULL,0.045858228,LEUPROLIDE ACETATE
SPP1,NULL,1.400204566,PROTEIN PHOSPHATASE INHIBITOR
SPP1,NULL,0.269270109,TYROSINE KINASE INHIBITOR
SSTR1,NULL,0.190245186,STREPTOZOCIN
SST,NULL,4.039051634,VALINOMYCIN
EPCAM,NULL,1.050153425,"ALUM, POTASSIUM"
TAC1,NULL,0.329201701,PREGNANT MARE SERUM GONADOTROPIN
TFPI2,NULL,2.625383562,PROTEASE INHIBITOR
TGFB1,NULL,0.030688294,GENISTEIN
FGFR1,inhibitor,0.560829599,ROGARATINIB
TG,NULL,0.677518339,POLYETHYLENE GLYCOL 4000
TGFB1,NULL,0.381411655,PIRFENIDONE
TH,NULL,2.500365297,3-IODOBENZYLGUANIDINE
XRCC5,NULL,0.750109589,4-PHENYLBUTYRIC ACID
XIAP,NULL,0.028252715,ETOPOSIDE
AKT2,inhibitor,0.972364282,BAY-1125976
ZAP70,NULL,2.019525817,H2O2
XIAP,NULL,0.020579138,CYTARABINE
KRAS,NULL,0.546954909,CETUXIMAB
BRAF,NULL,0.494836692,BINIMETINIB
BRCA2,NULL,0.228791596,TALAZOPARIB
ERBB2,NULL,0.616866438,NERATINIB
MTOR,NULL,0.200733552,EVEROLIMUS
FLT4,inhibitor,0.625091324,CEP-5214
MAP2K1,NULL,0.512574886,TRAMETINIB DIMETHYL SULFOXIDE
MET,NULL,0.033903258,ERLOTINIB
SRSF2,NULL,6.563458904,H3B-8800
KRAS,NULL,0.054695491,TRAMETINIB DIMETHYL SULFOXIDE
ABCC4,NULL,0.48394167,GLUCARPIDASE
ADRB2,NULL,0.542714948,RITODRINE
CYP1A2,NULL,0.016397374,THEOPHYLLINE
ERCC1,NULL,0.236521042,THALIDOMIDE
ADRA1D,NULL,0.134635054,METHOXAMINE
NR1I2,NULL,0.103259924,MEMANTINE HYDROCHLORIDE
APOC3,NULL,0.208363775,RITONAVIR
PPCDC,NULL,1.750255708,ZOLEDRONIC ACID ANHYDROUS
UGT1A10,NULL,0.307062405,OXCARBAZEPINE
SLC28A3,NULL,0.416727549,EPIRUBICIN
UGT1A10,NULL,0.106290832,ACETAMINOPHEN
SLC19A1,NULL,0.700102283,PEMETREXED DISODIUM
ZNF423,NULL,0.807810327,TAMOXIFEN
FGFR4,inhibitor,0.159597785,ROGARATINIB
CYP2C9,NULL,0.081030357,SIPONIMOD
NCOA1,NULL,0.403905163,TAMOXIFEN
HNF4A,NULL,0.273477454,ROSUVASTATIN
ABCG2,NULL,0.088695391,LEUCOVORIN CALCIUM
ABCG2,NULL,0.021036727,LOVASTATIN
ABCG2,NULL,0.045579576,EPIRUBICIN
ABCG2,NULL,0.060772768,ZIDOVUDINE
ADRB2,NULL,0.407036211,METHACHOLINE
SLC22A1,NULL,6.563458904,CYCLOGUANIL
NOS1AP,NULL,0.144251844,NIFEDIPINE
DRD2,NULL,0.021846337,DEXTROAMPHETAMINE SULFATE
NUP153,NULL,11.66837139,TICAGRELOR
COL18A1,NULL,0.06697407,METHOTREXATE
SORCS2,NULL,17.50255708,ATAZANAVIR
CCND1,NULL,0.040328473,LAPATINIB
ABCB1,NULL,0.032055965,NEFAZODONE
CYP2B6,NULL,0.410216182,ETHAMBUTOL HYDROCHLORIDE
IL18,NULL,0.190590458,PEGINTERFERON ALFA-2A
ADRB1,NULL,0.11187714,ISOPROTERENOL
ABCB1,NULL,0.037398626,PALIPERIDONE
ABCB1,NULL,0.037398626,ALDOSTERONE
CDH15,NULL,0.500073059,CLOPIDOGREL
CYP3A,NULL,0.069638821,CYCLOSPORINE
TTK,inhibitor,17.50255708,BAY-1161909
HTR2C,NULL,0.036770078,ILOPERIDONE
CD274,NULL,0.074128477,PEMETREXED DISODIUM
RGS17,NULL,2.019525817,ANTIDEPRESSANT AGENT
ERBB2,NULL,0.038382801,SACITUZUMAB GOVITECAN
CYP2A6,NULL,7.292732116,LETROZOLE
SYNE3,NULL,0.833455099,IRINOTECAN HYDROCHLORIDE
CYP2D6,NULL,0.059030547,TOLPERISONE
AGAP3,NULL,1.500219178,CLOPIDOGREL
KCNQ5,NULL,0.092606122,IRINOTECAN HYDROCHLORIDE
ATF5,NULL,0.312545662,HYDROCORTISONE BUTYRATE
LST1,NULL,9.546849316,ABACAVIR
HLA-B,NULL,2.512328767,ABACAVIR
SNAP25,NULL,0.673175272,AMISULPRIDE
FGFR3,inhibitor,0.394794521,ROGARATINIB
G6PD,NULL,0.095468493,PRILOCAINE
ESR2,NULL,0.028413242,IXABEPILONE
EGFR,NULL,0.277818366,LAPATINIB
HLA-B,NULL,0.212581665,STAVUDINE
ADRA1A,NULL,0.025439763,DISULFIRAM
CYP3A5,NULL,0.388945713,APIXABAN
CES1,NULL,0.760980743,APIXABAN
RGS5,NULL,0.555636733,IRINOTECAN HYDROCHLORIDE
FCGR3A,NULL,0.024461995,VINCRISTINE
IGHMBP2,NULL,0.144053968,VINCRISTINE
DOK5,NULL,0.129648571,VINCRISTINE
NCF4,NULL,0.259297142,VINCRISTINE
CYP2D6,NULL,0.01609924,"3,4-METHYLENEDIOXYMETHAMPHETAMINE"
CYP2D6,NULL,0.006811217,COLCHICINE
CYP2D6,NULL,0.014757637,SULFASALAZINE
CYP2D6,NULL,0.009081623,LOVASTATIN
CYP2D6,NULL,0.018782447,TRIMIPRAMINE
SSTR4,NULL,3.500511416,LUTETIUM LU 177 DOTATATE
IMPDH2,NULL,0.276356164,AZATHIOPRINE
ADRA2C,NULL,0.246514888,BUCINDOLOL HYDROCHLORIDE
CASP9,NULL,0.345445205,AZATHIOPRINE
